hole_id,md,inc,az
J712,0,0.15 ,0
J712,50,0.86 ,196
J712,100,0.68 ,156
J712,150,1.11 ,221
J712,200,1.60 ,235
J712,250,1.23 ,235
J712,258,0.72 ,205
J813,0,0.12 ,0
J813,50,0.42 ,138
J813,100,0.79 ,232
J813,150,1.49 ,248
J813,200,0.78 ,266
J813,250,0.18 ,144
J813,275,0.98 ,314
J912,0,0.13 ,0
J912,50,1.20 ,68
J912,100,1.62 ,72
J912,150,1.07 ,55
J912,200,1.46 ,77
J912,250,1.41 ,77
J912,263,1.58 ,63
J1011,0,0.11 ,0
J1011,50,1.01 ,147
J1011,100,1.20 ,130
J1011,150,0.81 ,130
J1011,200,0.93 ,108
J1011,250,1.30 ,102
J1011,257,1.16 ,113
J1012,0,0.11 ,0
J1012,50,1.62 ,110
J1012,100,1.96 ,175
J1012,150,1.38 ,178
J1012,200,1.03 ,214
J1012,250,1.14 ,127
J1012,267,0.81 ,95
J1013,0,0.08 ,0
J1013,50,0.28 ,80
J1013,100,0.38 ,299
J1013,150,1.05 ,323
J1013,200,0.64 ,293
J1013,250,0.47 ,335
J1013,276,0.78 ,122
J1110,0,0.16 ,0
J1110,30,1.70 ,108
J1110,50,2.63 ,159
J1110,120.7,4.23 ,159
J1110,100,4.22 ,159
J1110,120.7,3.75 ,176
J1110,100,3.08 ,159
J1111,0,0.15 ,0
J1111,20,1.96 ,206
J1111,100,2.49 ,257
J1111,50,2.26 ,281
J1111,150,1.41 ,271
J1111,200,1.83 ,259
J1111,250,1.77 ,257
J1111,271,1.38 ,280
J1112,0,0.08 ,0
J1112,50,0.82 ,62
J1112,100,1.27 ,119
J1112,150,1.37 ,125
J1112,200,0.67 ,97
J1112,250,0.78 ,130
J1112,277,1.14 ,124
J1211,0,0.11 ,0
J1211,50,0.99 ,281
J1211,100,0.88 ,267
J1211,150,1.05 ,266
J1211,200,1.45 ,295
J1211,250,1.01 ,320
J1211,272,0.97 ,321
J1213,0,0.07 ,0
J1213,50,0.54 ,114
J1213,100,0.13 ,59
J1213,150,0.35 ,23
J1213,200,0.75 ,92
J1213,250,0.58 ,92
J1213,288,0.63 ,105
J1310,0,0.10 ,0
J1310,50,0.27 ,108
J1310,100,0.81 ,9
J1310,150,0.61 ,30
J1310,200,0.31 ,88
J1310,250,0.27 ,61
J1310,267,1.14 ,89
J1312,0,0.13 ,0
J1312,50,2.09 ,107
J1312,100,2.01 ,103
J1312,150,1.63 ,103
J1312,200,1.81 ,100
J1312,250,1.97 ,105
J1312,280,2.05 ,108
J1313,0,0.11 ,0
J1313,50,0.44 ,156
J1313,100,0.18 ,300
J1313,150,0.35 ,178
J1313,200,0.81 ,203
J1313,250,0.64 ,145
J1313,290,1.59 ,153
