hole_id,from_md,to_md,unit
J1010,0,35.04,loss
J1010,35.04,127.57,lishi
J1010,127.57,130.72,coaltop
J1010,130.72,171.95,mix
J1010,171.95,174.15,coalmid
J1010,174.15,229.96,stonetop
J1010,229.96,234.06,coalend
J1010,234.06,242.56,stonemid
J1010,242.56,243.66,coalendo
J1010,243.66,288.51,stoneend
J1011,0,33.07,loss
J1011,33.07,130.5,lishi
J1011,130.5,133.81,coaltop
J1011,133.81,174.67,mix
J1011,174.67,176.98,coalmid
J1011,176.98,235.43,stonetop
J1011,235.43,239.93,coalend
J1011,239.93,250.01,stonemid
J1011,250.01,251.51,coalendo
J1011,251.51,261.43,stoneend
J1012,0,64.05,loss
J1012,64.05,137.96,lishi
J1012,137.96,141.16,coaltop
J1012,141.16,185.6,mix
J1012,185.6,187.9,coalmid
J1012,187.9,249.89,stonetop
J1012,249.89,255.09,coalend
J1012,255.09,261.37,stonemid
J1012,261.37,263.17,coalendo
J1012,263.17,273.71,stoneend
J1013,0,35.9,loss
J1013,35.9,151.35,lishi
J1013,151.35,154.45,coaltop
J1013,154.45,199.7,mix
J1013,199.7,202.1,coalmid
J1013,202.1,258.4,stonetop
J1013,258.4,264.9,coalend
J1013,264.9,269.4,stonemid
J1013,269.4,270.9,coalendo
J1013,270.9,280.8,stoneend
J1110,0,76.4,loss
J1110,76.4,125.6,lishi
J1110,125.6,128.5,coaltop
J1110,128.5,174.9,mix
J1110,174.9,177.2,coalmid
J1110,177.2,239.5,stonetop
J1110,239.5,244.8,coalend
J1110,244.8,249.9,stonemid
J1110,249.9,251.5,coalendo
J1110,251.5,261.5,stoneend
J1111,0,35.4,loss
J1111,35.4,135.3,lishi
J1111,135.3,138,coaltop
J1111,138,184.6,mix
J1111,184.6,186.7,coalmid
J1111,186.7,254.1,stonetop
J1111,254.1,259.4,coalend
J1111,259.4,262.75,stonemid
J1111,262.75,264.5,coalendo
J1111,264.5,274.4,stoneend
J1112,0,66.3,loss
J1112,66.3,142.77,lishi
J1112,142.77,145.77,coaltop
J1112,145.77,192.93,mix
J1112,192.93,195.25,coalmid
J1112,195.25,257.19,stonetop
